,Epoch,CLARIFY Train AUROC,CLARIFY Train AP,CLARIFY Test AP,CLARIFY Test ROC,CLARIFY Test AUPRC,CLARIFY Test ACC,CLARIFY Test MCC,CLARIFY test Recall,CLARIFY Test f1-score,CLARIFT Test Precision0.5,Test_Specificity_confusion
0,0,0.566894311,0.544812289,0.458332724,0.417507775,0.457390334,0.483361775,-0.087055523,0.945392491,0.646629705,0.49135255,0.02133
1,1,0.567273311,0.545036567,0.458343452,0.417453174,0.457402551,0.483788396,-0.088232863,0.948805461,0.647641235,0.491600354,0.01877
2,2,0.567797025,0.545369619,0.458390673,0.417405852,0.457447569,0.484641638,-0.097247585,0.959044369,0.650462963,0.492119089,0.01024
3,3,0.568444599,0.545875677,0.458671438,0.417498675,0.45773661,0.482081911,-0.09132593,0.941979522,0.645236704,0.490666667,0.02218
4,4,0.569330936,0.54651625,0.45888886,0.417628991,0.457957938,0.480802048,-0.096388475,0.939419795,0.644047967,0.489986649,0.02218
5,5,0.570429098,0.547382146,0.459216773,0.418137151,0.458281748,0.480375427,-0.096192219,0.936860068,0.643233743,0.489741302,0.02389
6,6,0.571619036,0.548529314,0.45961538,0.418751966,0.458679859,0.481228669,-0.093785298,0.939419795,0.644236396,0.490204809,0.02304
7,7,0.573186769,0.550133884,0.46049369,0.419983416,0.459556635,0.482935154,-0.092876698,0.947952218,0.647058824,0.491158267,0.01792
8,8,0.574885047,0.551961878,0.461673331,0.421415436,0.46073969,0.482508532,-0.095763293,0.947952218,0.646870451,0.490941228,0.01706
9,9,0.576625035,0.554049555,0.463070799,0.423246048,0.462145685,0.468856655,-0.102919545,0.866894198,0.620079341,0.482660333,0.07082
10,10,0.578392695,0.556183849,0.464637903,0.425469429,0.463714547,0.467150171,-0.111075267,0.870307167,0.620249316,0.481813888,0.06399
11,11,0.580116841,0.558522655,0.466187034,0.427823854,0.465263636,0.472696246,-0.10360817,0.897610922,0.62994012,0.485239852,0.04778
12,12,0.581550889,0.560765833,0.467769059,0.430180462,0.46684514,0.469283276,-0.112011019,0.887372014,0.625752106,0.483271375,0.05119
